FEN,Moves,Moves_UCI,Puzzle_ID,9M_results
r3r3/5Rpp/p1k5/P1p5/7N/6P1/2p2P1P/2R3K1 b - - 0 1,Re1+,e8e1,001CBP,"{'c5c4': {'wp': np.float64(0.15835301984091732), 'cp': -453}, 'c6b5': {'wp': np.float64(0.16379644500595802), 'cp': -442}, 'c6d5': {'wp': np.float64(0.14164175129112566), 'cp': -489}, 'c6d6': {'wp': np.float64(0.13581302204952944), 'cp': -502}, 'g7g5': {'wp': np.float64(0.19593931103810308), 'cp': -383}, 'g7g6': {'wp': np.float64(0.15166693517388696), 'cp': -467}, 'h7h5': {'wp': np.float64(0.14464269696763882), 'cp': -482}, 'h7h6': {'wp': np.float64(0.14698608881473865), 'cp': -477}, 'a8a7': {'wp': np.float64(0.10001719138379539), 'cp': -596}, 'a8b8': {'wp': np.float64(0.17679996652162105), 'cp': -417}, 'a8c8': {'wp': np.float64(0.15280052648101144), 'cp': -465}, 'a8d8': {'wp': np.float64(0.19503977694901076), 'cp': -384}, 'e8e1': {'wp': np.float64(0.12230489498130165), 'cp': -535}, 'e8e2': {'wp': np.float64(0.23442058306058652), 'cp': -321}, 'e8e3': {'wp': np.float64(0.07619821678811269), 'cp': -677}, 'e8e4': {'wp': np.float64(0.15441384744657036), 'cp': -461}, 'e8e5': {'wp': np.float64(0.14894374904465432), 'cp': -473}, 'e8e6': {'wp': np.float64(0.14496125108850103), 'cp': -481}, 'e8e7': {'wp': np.float64(0.07521581098716973), 'cp': -681}, 'e8b8': {'wp': np.float64(0.15701048202269252), 'cp': -456}, 'e8c8': {'wp': np.float64(0.14101830452601738), 'cp': -490}, 'e8d8': {'wp': np.float64(0.15843070763573897), 'cp': -453}, 'e8f8': {'wp': np.float64(0.19050417295823313), 'cp': -392}, 'e8g8': {'wp': np.float64(0.13868843880429182), 'cp': -495}, 'e8h8': {'wp': np.float64(0.13450506361227665), 'cp': -505}}"
r2qr1k1/1b1n1p1p/pp1Q1np1/2pp4/3P4/2N1P3/PP1B1PPP/1BR2RK1 b - - 0 1,Re5,e8e5,002CBP,"{'c5c4': {'wp': np.float64(0.41179215367802224), 'cp': -96}, 'c5d4': {'wp': np.float64(0.3990181220695119), 'cp': -111}, 'a6a5': {'wp': np.float64(0.429969169663371), 'cp': -76}, 'b6b5': {'wp': np.float64(0.3837978522817136), 'cp': -128}, 'f6e4': {'wp': np.float64(0.4259093518488829), 'cp': -81}, 'f6g4': {'wp': np.float64(0.36683023028202566), 'cp': -148}, 'f6h5': {'wp': np.float64(0.4439928067846468), 'cp': -61}, 'g6g5': {'wp': np.float64(0.3065934539950298), 'cp': -221}, 'b7c6': {'wp': np.float64(0.18201062046255917), 'cp': -408}, 'b7c8': {'wp': np.float64(0.3209527580635844), 'cp': -203}, 'd7e5': {'wp': np.float64(0.16743901967995234), 'cp': -435}, 'd7b8': {'wp': np.float64(0.3393974521643508), 'cp': -180}, 'd7f8': {'wp': np.float64(0.3895043433713328), 'cp': -122}, 'h7h5': {'wp': np.float64(0.39868203695521265), 'cp': -111}, 'h7h6': {'wp': np.float64(0.4126213348003165), 'cp': -95}, 'a8a7': {'wp': np.float64(0.39971296464921113), 'cp': -110}, 'a8b8': {'wp': np.float64(0.4319175388191536), 'cp': -74}, 'a8c8': {'wp': np.float64(0.45860116769702663), 'cp': -45}, 'd8c7': {'wp': np.float64(0.06646605452445546), 'cp': -717}, 'd8e7': {'wp': np.float64(0.40062434933477636), 'cp': -109}, 'd8b8': {'wp': np.float64(0.4117265011279192), 'cp': -96}, 'd8c8': {'wp': np.float64(0.4028664378213793), 'cp': -106}, 'e8e3': {'wp': np.float64(0.10960602087630339), 'cp': -568}, 'e8e4': {'wp': np.float64(0.21640003750773054), 'cp': -349}, 'e8e5': {'wp': np.float64(0.1462329939336324), 'cp': -479}, 'e8e6': {'wp': np.float64(0.4449842037251848), 'cp': -60}, 'e8e7': {'wp': np.float64(0.41567785817661596), 'cp': -92}, 'e8f8': {'wp': np.float64(0.39912329736636254), 'cp': -111}, 'g8g7': {'wp': np.float64(0.40598764638048884), 'cp': -103}, 'g8h8': {'wp': np.float64(0.4017500084860812), 'cp': -108}}"
7r/p4pk1/bpBqp1p1/8/1P1b3P/P4Q1P/2R2P2/2R3K1 w - - 0 1,b5,b4b5,003CBP,"{'c1a1': {'wp': np.float64(0.15586689518747976), 'cp': -458}, 'c1b1': {'wp': np.float64(0.4550019611617806), 'cp': -49}, 'c1d1': {'wp': np.float64(0.5375369741625078), 'cp': 40}, 'c1e1': {'wp': np.float64(0.4906161941832312), 'cp': -10}, 'c1f1': {'wp': np.float64(0.27386119865908476), 'cp': -264}, 'g1h1': {'wp': np.float64(0.48781121009068945), 'cp': -13}, 'g1g2': {'wp': np.float64(0.5383109966952204), 'cp': 41}, 'c2a2': {'wp': np.float64(0.4515737301225521), 'cp': -52}, 'c2b2': {'wp': np.float64(0.1563352237421754), 'cp': -457}, 'c2d2': {'wp': np.float64(0.5116251710770185), 'cp': 12}, 'c2e2': {'wp': np.float64(0.15497869458168625), 'cp': -460}, 'c2c3': {'wp': np.float64(0.42087189615108966), 'cp': -86}, 'c2c4': {'wp': np.float64(0.24287102330523846), 'cp': -308}, 'c2c5': {'wp': np.float64(0.13040552640448952), 'cp': -515}, 'a3a4': {'wp': np.float64(0.46237988373346717), 'cp': -40}, 'f3d1': {'wp': np.float64(0.2951905992821846), 'cp': -236}, 'f3h1': {'wp': np.float64(0.32624124511208297), 'cp': -196}, 'f3e2': {'wp': np.float64(0.06305685356838554), 'cp': -732}, 'f3g2': {'wp': np.float64(0.43642764052538124), 'cp': -69}, 'f3b3': {'wp': np.float64(0.4642951728227726), 'cp': -38}, 'f3c3': {'wp': np.float64(0.12007633844326357), 'cp': -540}, 'f3d3': {'wp': np.float64(0.04642611913536213), 'cp': -820}, 'f3e3': {'wp': np.float64(0.08384323028585695), 'cp': -649}, 'f3g3': {'wp': np.float64(0.035818647044706775), 'cp': -894}, 'f3e4': {'wp': np.float64(0.42747297158799413), 'cp': -79}, 'f3f4': {'wp': np.float64(0.050876112456747315), 'cp': -794}, 'f3g4': {'wp': np.float64(0.5311460422602587), 'cp': 33}, 'f3d5': {'wp': np.float64(0.06443963617833616), 'cp': -726}, 'f3f5': {'wp': np.float64(0.0750204694495181), 'cp': -682}, 'f3h5': {'wp': np.float64(0.06405223361329423), 'cp': -728}, 'f3f6': {'wp': np.float64(0.0830115825739128), 'cp': -652}, 'f3f7': {'wp': np.float64(0.1239595935340211), 'cp': -531}, 'b4b5': {'wp': np.float64(0.6403428838834767), 'cp': 156}, 'h4h5': {'wp': np.float64(0.4159628088623176), 'cp': -92}, 'c6a4': {'wp': np.float64(0.43227707248337577), 'cp': -74}, 'c6e4': {'wp': np.float64(0.4273539592821874), 'cp': -79}, 'c6b5': {'wp': np.float64(0.18448962525509083), 'cp': -403}, 'c6d5': {'wp': np.float64(0.20476468202635295), 'cp': -368}, 'c6b7': {'wp': np.float64(0.40007181307607065), 'cp': -110}, 'c6d7': {'wp': np.float64(0.3462883265409035), 'cp': -172}, 'c6a8': {'wp': np.float64(0.43019394368857405), 'cp': -76}, 'c6e8': {'wp': np.float64(0.2482372650489557), 'cp': -300}}"
4r1k1/5Rp1/1p2r2p/7P/2PQnB1q/4P3/6P1/5RK1 b - - 0 1,Kxf7,g8f7,004CBP,"{'e4d2': {'wp': np.float64(0.00390627772712102), 'cp': -1504}, 'e4f2': {'wp': np.float64(0.003906310994583733), 'cp': -1504}, 'e4c3': {'wp': np.float64(0.0039065106924983), 'cp': -1504}, 'e4g3': {'wp': np.float64(0.003914102138461962), 'cp': -1504}, 'e4c5': {'wp': np.float64(0.003906273542847949), 'cp': -1504}, 'e4g5': {'wp': np.float64(0.003907798393342074), 'cp': -1504}, 'e4d6': {'wp': np.float64(0.003906398036201505), 'cp': -1504}, 'e4f6': {'wp': np.float64(0.4733776071956587), 'cp': -28}, 'h4e1': {'wp': np.float64(0.003906264286975961), 'cp': -1504}, 'h4h1': {'wp': np.float64(0.09799966508323125), 'cp': -602}, 'h4f2': {'wp': np.float64(0.10599918587956304), 'cp': -579}, 'h4h2': {'wp': np.float64(0.06297036903788221), 'cp': -733}, 'h4g3': {'wp': np.float64(0.05022216620238017), 'cp': -798}, 'h4h3': {'wp': np.float64(0.003906291346032835), 'cp': -1504}, 'h4f4': {'wp': np.float64(0.003909687379142745), 'cp': -1504}, 'h4g4': {'wp': np.float64(0.4019694491505824), 'cp': -107}, 'h4g5': {'wp': np.float64(0.027263423553242183), 'cp': -970}, 'h4h5': {'wp': np.float64(0.003911793280060957), 'cp': -1504}, 'h4f6': {'wp': np.float64(0.1324524310305591), 'cp': -510}, 'h4e7': {'wp': np.float64(0.03837646069743367), 'cp': -874}, 'h4d8': {'wp': np.float64(0.003906597256492915), 'cp': -1504}, 'b6b5': {'wp': np.float64(0.0039062808831758136), 'cp': -1504}, 'e6e5': {'wp': np.float64(0.0553116207217752), 'cp': -770}, 'e6c6': {'wp': np.float64(0.003906296789780046), 'cp': -1504}, 'e6d6': {'wp': np.float64(0.0039071214742531675), 'cp': -1504}, 'e6f6': {'wp': np.float64(0.37617897683580437), 'cp': -137}, 'e6g6': {'wp': np.float64(0.06111935842052624), 'cp': -741}, 'e6e7': {'wp': np.float64(0.005593985623044542), 'cp': -1406}, 'g7g5': {'wp': np.float64(0.003908392859449767), 'cp': -1504}, 'g7g6': {'wp': np.float64(0.003906328114818922), 'cp': -1504}, 'e8e7': {'wp': np.float64(0.004217219551142987), 'cp': -1484}, 'e8a8': {'wp': np.float64(0.003906279624129662), 'cp': -1504}, 'e8b8': {'wp': np.float64(0.003906299417979215), 'cp': -1504}, 'e8c8': {'wp': np.float64(0.003906305311858229), 'cp': -1504}, 'e8d8': {'wp': np.float64(0.0039063480384758115), 'cp': -1504}, 'e8f8': {'wp': np.float64(0.003907421381566982), 'cp': -1504}, 'g8f7': {'wp': np.float64(0.2726756377163424), 'cp': -266}, 'g8h7': {'wp': np.float64(0.003906403947017273), 'cp': -1504}, 'g8h8': {'wp': np.float64(0.003906343273212191), 'cp': -1504}}"
2r3k1/4bppp/p3p3/q1n1P1PP/1pQ2P2/5B2/PPb5/K1NR2R1 b - - 0 1,Qa4,a5a4,005CBP,"{'c2b1': {'wp': np.float64(0.14708997480433375), 'cp': -477}, 'c2d1': {'wp': np.float64(0.5377723352464477), 'cp': 41}, 'c2b3': {'wp': np.float64(0.1298530657002921), 'cp': -516}, 'c2d3': {'wp': np.float64(0.14731072937709788), 'cp': -476}, 'c2a4': {'wp': np.float64(0.4199335482838204), 'cp': -87}, 'c2e4': {'wp': np.float64(0.14171743840558454), 'cp': -489}, 'c2f5': {'wp': np.float64(0.32857863470874515), 'cp': -194}, 'c2g6': {'wp': np.float64(0.14240458393659117), 'cp': -487}, 'b4b3': {'wp': np.float64(0.4994118370327725), 'cp': 0}, 'a5a2': {'wp': np.float64(0.14527723544399396), 'cp': -481}, 'a5a3': {'wp': np.float64(0.12600268334395326), 'cp': -526}, 'a5a4': {'wp': np.float64(0.4924734805915232), 'cp': -8}, 'a5b5': {'wp': np.float64(0.20179517512327855), 'cp': -373}, 'a5b6': {'wp': np.float64(0.2638700100171975), 'cp': -278}, 'a5c7': {'wp': np.float64(0.37385057389947796), 'cp': -140}, 'a5d8': {'wp': np.float64(0.11117414450952623), 'cp': -564}, 'c5b3': {'wp': np.float64(0.23256458020305004), 'cp': -324}, 'c5d3': {'wp': np.float64(0.08687475617454038), 'cp': -638}, 'c5a4': {'wp': np.float64(0.08115195502530237), 'cp': -659}, 'c5e4': {'wp': np.float64(0.07497586829846814), 'cp': -682}, 'c5b7': {'wp': np.float64(0.07005685071237279), 'cp': -702}, 'c5d7': {'wp': np.float64(0.0764080817197905), 'cp': -676}, 'e7g5': {'wp': np.float64(0.1838581938314438), 'cp': -404}, 'e7d6': {'wp': np.float64(0.13564259588806932), 'cp': -502}, 'e7f6': {'wp': np.float64(0.132972445264124), 'cp': -509}, 'e7d8': {'wp': np.float64(0.16289950824645463), 'cp': -444}, 'e7f8': {'wp': np.float64(0.1870641737204144), 'cp': -399}, 'f7f5': {'wp': np.float64(0.141670485302544), 'cp': -489}, 'f7f6': {'wp': np.float64(0.14129731925444175), 'cp': -490}, 'g7g6': {'wp': np.float64(0.1865233898873628), 'cp': -399}, 'h7h6': {'wp': np.float64(0.1750155845082746), 'cp': -421}, 'c8c6': {'wp': np.float64(0.1279544050736865), 'cp': -521}, 'c8c7': {'wp': np.float64(0.17885611430595588), 'cp': -413}, 'c8a8': {'wp': np.float64(0.12233399273491397), 'cp': -535}, 'c8b8': {'wp': np.float64(0.18792326457313602), 'cp': -397}, 'c8d8': {'wp': np.float64(0.12003973794908473), 'cp': -541}, 'c8e8': {'wp': np.float64(0.12997310947731683), 'cp': -516}, 'c8f8': {'wp': np.float64(0.13190754196777538), 'cp': -511}, 'g8f8': {'wp': np.float64(0.15858099520853086), 'cp': -453}, 'g8h8': {'wp': np.float64(0.1643350997626383), 'cp': -441}}"
r4rk1/pb3pp1/1p1ppq1p/8/2PR3n/P1N1P1P1/1PQ1BP1P/5RK1 b - - 0 1,Qf3,f6f3,006CBP,"{'h4g2': {'wp': np.float64(0.23784447127515343), 'cp': -316}, 'h4f3': {'wp': np.float64(0.6201761714442386), 'cp': 133}, 'h4f5': {'wp': np.float64(0.44207388813504434), 'cp': -63}, 'h4g6': {'wp': np.float64(0.3915964587077673), 'cp': -119}, 'b6b5': {'wp': np.float64(0.16140505511615857), 'cp': -447}, 'd6d5': {'wp': np.float64(0.16438021055657576), 'cp': -441}, 'e6e5': {'wp': np.float64(0.13489972679460233), 'cp': -504}, 'f6f2': {'wp': np.float64(0.06416950432610558), 'cp': -727}, 'f6f3': {'wp': np.float64(0.19942297022980782), 'cp': -377}, 'f6d4': {'wp': np.float64(0.1208968522893954), 'cp': -538}, 'f6f4': {'wp': np.float64(0.06234769098973003), 'cp': -736}, 'f6e5': {'wp': np.float64(0.13255260238612748), 'cp': -510}, 'f6f5': {'wp': np.float64(0.34231835090861396), 'cp': -177}, 'f6g5': {'wp': np.float64(0.13483986766825573), 'cp': -504}, 'f6g6': {'wp': np.float64(0.3038000321371297), 'cp': -225}, 'f6e7': {'wp': np.float64(0.14692948303643472), 'cp': -477}, 'f6d8': {'wp': np.float64(0.13762842907524264), 'cp': -498}, 'h6h5': {'wp': np.float64(0.13329391328544085), 'cp': -508}, 'a7a5': {'wp': np.float64(0.13902154811616602), 'cp': -495}, 'a7a6': {'wp': np.float64(0.14382455426643115), 'cp': -484}, 'b7h1': {'wp': np.float64(0.10584883658440265), 'cp': -579}, 'b7g2': {'wp': np.float64(0.1788371712231512), 'cp': -413}, 'b7f3': {'wp': np.float64(0.1393203281495775), 'cp': -494}, 'b7e4': {'wp': np.float64(0.09288089135458041), 'cp': -618}, 'b7d5': {'wp': np.float64(0.10578954528611467), 'cp': -579}, 'b7a6': {'wp': np.float64(0.12892815150190035), 'cp': -518}, 'b7c6': {'wp': np.float64(0.13352988422807033), 'cp': -507}, 'b7c8': {'wp': np.float64(0.12514778830750764), 'cp': -528}, 'g7g5': {'wp': np.float64(0.1761591107622691), 'cp': -418}, 'g7g6': {'wp': np.float64(0.1391698211255302), 'cp': -494}, 'a8b8': {'wp': np.float64(0.14464430758758942), 'cp': -482}, 'a8c8': {'wp': np.float64(0.15911038958643425), 'cp': -452}, 'a8d8': {'wp': np.float64(0.15042503260001538), 'cp': -470}, 'a8e8': {'wp': np.float64(0.14284363831510571), 'cp': -486}, 'f8b8': {'wp': np.float64(0.1387489821477988), 'cp': -495}, 'f8c8': {'wp': np.float64(0.15240901159800824), 'cp': -465}, 'f8d8': {'wp': np.float64(0.14968449054006533), 'cp': -471}, 'f8e8': {'wp': np.float64(0.1419390229581335), 'cp': -488}, 'g8h8': {'wp': np.float64(0.13686990846333139), 'cp': -500}}"
1br3k1/5pp1/p3p2p/1bBn4/N7/1P3PP1/5R1P/2R3K1 b - - 0 1,Bxa4,b5a4,007CBP,"{'b5f1': {'wp': np.float64(0.12397775454372573), 'cp': -531}, 'b5e2': {'wp': np.float64(0.13161153781015483), 'cp': -512}, 'b5d3': {'wp': np.float64(0.4284414356942955), 'cp': -78}, 'b5a4': {'wp': np.float64(0.6022269089439388), 'cp': 112}, 'b5c4': {'wp': np.float64(0.11927854863676529), 'cp': -542}, 'b5c6': {'wp': np.float64(0.4040382848742242), 'cp': -105}, 'b5d7': {'wp': np.float64(0.4271922885850069), 'cp': -79}, 'b5e8': {'wp': np.float64(0.419838668759775), 'cp': -87}, 'd5c3': {'wp': np.float64(0.1890796663231375), 'cp': -395}, 'd5e3': {'wp': np.float64(0.13469145162701335), 'cp': -505}, 'd5b4': {'wp': np.float64(0.4740857935503986), 'cp': -28}, 'd5f4': {'wp': np.float64(0.2593999277722054), 'cp': -284}, 'd5b6': {'wp': np.float64(0.14095170140116198), 'cp': -490}, 'd5f6': {'wp': np.float64(0.4133382235443287), 'cp': -95}, 'd5c7': {'wp': np.float64(0.3382062560842897), 'cp': -182}, 'd5e7': {'wp': np.float64(0.43509742290427245), 'cp': -70}, 'a6a5': {'wp': np.float64(0.42651749607124073), 'cp': -80}, 'e6e5': {'wp': np.float64(0.3688884669507747), 'cp': -145}, 'h6h5': {'wp': np.float64(0.4518529271329476), 'cp': -52}, 'f7f5': {'wp': np.float64(0.4260292109724519), 'cp': -80}, 'f7f6': {'wp': np.float64(0.43700634281733663), 'cp': -68}, 'g7g5': {'wp': np.float64(0.4536536070312226), 'cp': -50}, 'g7g6': {'wp': np.float64(0.42819854357378595), 'cp': -78}, 'b8g3': {'wp': np.float64(0.1702286436841517), 'cp': -430}, 'b8f4': {'wp': np.float64(0.2624583984234734), 'cp': -280}, 'b8e5': {'wp': np.float64(0.47279442389399884), 'cp': -29}, 'b8d6': {'wp': np.float64(0.4476740866523048), 'cp': -57}, 'b8a7': {'wp': np.float64(0.5458088167253476), 'cp': 49}, 'b8c7': {'wp': np.float64(0.4215746230106113), 'cp': -85}, 'c8c5': {'wp': np.float64(0.28102659054814055), 'cp': -255}, 'c8c6': {'wp': np.float64(0.44986874660195425), 'cp': -54}, 'c8c7': {'wp': np.float64(0.445875252096251), 'cp': -59}, 'c8d8': {'wp': np.float64(0.4361365856913042), 'cp': -69}, 'c8e8': {'wp': np.float64(0.4319024608571796), 'cp': -74}, 'c8f8': {'wp': np.float64(0.15115602334798786), 'cp': -468}, 'g8h7': {'wp': np.float64(0.45324027024516333), 'cp': -50}, 'g8h8': {'wp': np.float64(0.433185902253032), 'cp': -73}}"
8/2p1q2k/3p3p/3P1p1n/3QpPrP/2P1N1PK/1r6/5RR1 b - - 0 1,Rxh4+,g4h4,008CBP,"{'b2b1': {'wp': np.float64(0.2220360929681382), 'cp': -340}, 'b2a2': {'wp': np.float64(0.37305608201886287), 'cp': -140}, 'b2c2': {'wp': np.float64(0.240594841074401), 'cp': -312}, 'b2d2': {'wp': np.float64(0.1814222308487976), 'cp': -409}, 'b2e2': {'wp': np.float64(0.40167668565353765), 'cp': -108}, 'b2f2': {'wp': np.float64(0.19008704037436064), 'cp': -393}, 'b2g2': {'wp': np.float64(0.1699792185679576), 'cp': -430}, 'b2h2': {'wp': np.float64(0.17721807821957425), 'cp': -416}, 'b2b3': {'wp': np.float64(0.29371830876518656), 'cp': -238}, 'b2b4': {'wp': np.float64(0.16166772074504687), 'cp': -446}, 'b2b5': {'wp': np.float64(0.29012880704858757), 'cp': -243}, 'b2b6': {'wp': np.float64(0.2666561506719055), 'cp': -274}, 'b2b7': {'wp': np.float64(0.26041395482585294), 'cp': -283}, 'b2b8': {'wp': np.float64(0.31947799722613845), 'cp': -205}, 'g4g3': {'wp': np.float64(0.3265464970960803), 'cp': -196}, 'g4f4': {'wp': np.float64(0.21972761129993068), 'cp': -344}, 'g4h4': {'wp': np.float64(0.3061218702235351), 'cp': -222}, 'g4g5': {'wp': np.float64(0.140965948920594), 'cp': -490}, 'g4g6': {'wp': np.float64(0.4802752215360604), 'cp': -21}, 'g4g7': {'wp': np.float64(0.2877417155585449), 'cp': -246}, 'g4g8': {'wp': np.float64(0.47817353200079227), 'cp': -23}, 'h5g3': {'wp': np.float64(0.7269720998796316), 'cp': 265}, 'h5f4': {'wp': np.float64(0.2903167284215744), 'cp': -242}, 'h5f6': {'wp': np.float64(0.3955362023017437), 'cp': -115}, 'h5g7': {'wp': np.float64(0.33421073088917286), 'cp': -187}, 'c7c5': {'wp': np.float64(0.5893363196644117), 'cp': 98}, 'c7c6': {'wp': np.float64(0.34733402024161464), 'cp': -171}, 'e7h4': {'wp': np.float64(0.48354349136786823), 'cp': -17}, 'e7e5': {'wp': np.float64(0.1007219674298181), 'cp': -594}, 'e7g5': {'wp': np.float64(0.07774768721684411), 'cp': -671}, 'e7e6': {'wp': np.float64(0.09295842161654422), 'cp': -618}, 'e7f6': {'wp': np.float64(0.4183869050145397), 'cp': -89}, 'e7d7': {'wp': np.float64(0.5793312498103527), 'cp': 86}, 'e7f7': {'wp': np.float64(0.4142834404784783), 'cp': -94}, 'e7g7': {'wp': np.float64(0.48060300236119247), 'cp': -21}, 'e7d8': {'wp': np.float64(0.32405461765929644), 'cp': -199}, 'e7e8': {'wp': np.float64(0.4129325452081565), 'cp': -95}, 'e7f8': {'wp': np.float64(0.36088140255552004), 'cp': -155}, 'h7g6': {'wp': np.float64(0.3640118656179432), 'cp': -151}, 'h7g8': {'wp': np.float64(0.2887985295288171), 'cp': -244}}"
5k2/7p/pr1pB1p1/2pP4/1P6/6PP/R3qP2/R5K1 b - - 0 1,Qe4,e2e4,009CBP,"{'e2d1': {'wp': np.float64(0.06377496578203873), 'cp': -729}, 'e2e1': {'wp': np.float64(0.06287472226104249), 'cp': -733}, 'e2f1': {'wp': np.float64(0.06422298817676222), 'cp': -727}, 'e2a2': {'wp': np.float64(0.27687307296970853), 'cp': -260}, 'e2b2': {'wp': np.float64(0.062429731997367253), 'cp': -735}, 'e2c2': {'wp': np.float64(0.05993237215168984), 'cp': -747}, 'e2d2': {'wp': np.float64(0.06278781757367473), 'cp': -734}, 'e2f2': {'wp': np.float64(0.05540114329649998), 'cp': -770}, 'e2d3': {'wp': np.float64(0.601470720576994), 'cp': 111}, 'e2e3': {'wp': np.float64(0.0652454619773227), 'cp': -722}, 'e2f3': {'wp': np.float64(0.532044227009316), 'cp': 34}, 'e2c4': {'wp': np.float64(0.5773356849568301), 'cp': 84}, 'e2e4': {'wp': np.float64(0.5990724006751065), 'cp': 109}, 'e2g4': {'wp': np.float64(0.061201525992666), 'cp': -741}, 'e2b5': {'wp': np.float64(0.5600627287950998), 'cp': 65}, 'e2e5': {'wp': np.float64(0.5668782530773242), 'cp': 73}, 'e2h5': {'wp': np.float64(0.46579184370110793), 'cp': -37}, 'e2e6': {'wp': np.float64(0.12449605717538631), 'cp': -529}, 'c5b4': {'wp': np.float64(0.0712407057108512), 'cp': -697}, 'c5c4': {'wp': np.float64(0.05747095515086062), 'cp': -759}, 'a6a5': {'wp': np.float64(0.06676931330066946), 'cp': -716}, 'b6b4': {'wp': np.float64(0.05876996178060538), 'cp': -753}, 'b6b5': {'wp': np.float64(0.05894583460058516), 'cp': -752}, 'b6c6': {'wp': np.float64(0.047199802390082465), 'cp': -816}, 'b6b7': {'wp': np.float64(0.06074753085059636), 'cp': -743}, 'b6b8': {'wp': np.float64(0.061178329552404875), 'cp': -741}, 'g6g5': {'wp': np.float64(0.06010732735522056), 'cp': -746}, 'h7h5': {'wp': np.float64(0.06316386735094953), 'cp': -732}, 'h7h6': {'wp': np.float64(0.06089320039537503), 'cp': -743}, 'f8e7': {'wp': np.float64(0.061174731137254565), 'cp': -741}, 'f8g7': {'wp': np.float64(0.06443627351741686), 'cp': -726}, 'f8e8': {'wp': np.float64(0.05793896458788396), 'cp': -757}}"
2r3r1/p1q2p1k/1p1p1p1p/n3pP2/3PPN1Q/P4R2/6PP/R5K1 b - - 0 1,Qc4,c7c4,010CBP,"{'a5b3': {'wp': np.float64(0.38376962452112107), 'cp': -128}, 'a5c4': {'wp': np.float64(0.16206523357181146), 'cp': -446}, 'a5c6': {'wp': np.float64(0.1813260126734495), 'cp': -409}, 'a5b7': {'wp': np.float64(0.1801922820637425), 'cp': -411}, 'e5d4': {'wp': np.float64(0.19853447743332753), 'cp': -378}, 'e5f4': {'wp': np.float64(0.6713688622191927), 'cp': 194}, 'b6b5': {'wp': np.float64(0.20955979021790516), 'cp': -360}, 'd6d5': {'wp': np.float64(0.1778627050920163), 'cp': -415}, 'h6h5': {'wp': np.float64(0.07929843981707368), 'cp': -665}, 'a7a6': {'wp': np.float64(0.19648297694963812), 'cp': -382}, 'c7c1': {'wp': np.float64(0.2329348222677241), 'cp': -323}, 'c7c2': {'wp': np.float64(0.5085545120037311), 'cp': 9}, 'c7c3': {'wp': np.float64(0.12242379194497255), 'cp': -534}, 'c7c4': {'wp': np.float64(0.5830500851851685), 'cp': 91}, 'c7c5': {'wp': np.float64(0.09529525404409053), 'cp': -611}, 'c7c6': {'wp': np.float64(0.2423468189636342), 'cp': -309}, 'c7b7': {'wp': np.float64(0.16660250680964472), 'cp': -437}, 'c7d7': {'wp': np.float64(0.15357371173259238), 'cp': -463}, 'c7e7': {'wp': np.float64(0.15015894148499653), 'cp': -470}, 'c7b8': {'wp': np.float64(0.14585803437573064), 'cp': -480}, 'c7d8': {'wp': np.float64(0.31344844524606974), 'cp': -212}, 'h7g7': {'wp': np.float64(0.15899321890690543), 'cp': -452}, 'h7h8': {'wp': np.float64(0.0039076855941779665), 'cp': -1504}, 'c8a8': {'wp': np.float64(0.13639001188509636), 'cp': -501}, 'c8b8': {'wp': np.float64(0.14109413544797222), 'cp': -490}, 'c8d8': {'wp': np.float64(0.13431286488653438), 'cp': -506}, 'c8e8': {'wp': np.float64(0.12854938701081853), 'cp': -519}, 'c8f8': {'wp': np.float64(0.12732770986195752), 'cp': -522}, 'g8g2': {'wp': np.float64(0.1618286667292284), 'cp': -446}, 'g8g3': {'wp': np.float64(0.16807192950479719), 'cp': -434}, 'g8g4': {'wp': np.float64(0.19580034475429642), 'cp': -383}, 'g8g5': {'wp': np.float64(0.32109991317419584), 'cp': -203}, 'g8g6': {'wp': np.float64(0.09350824290555015), 'cp': -616}, 'g8g7': {'wp': np.float64(0.21444099017158202), 'cp': -352}, 'g8d8': {'wp': np.float64(0.10151724785859984), 'cp': -592}, 'g8e8': {'wp': np.float64(0.11756238965051019), 'cp': -547}, 'g8f8': {'wp': np.float64(0.11827459667421675), 'cp': -545}, 'g8h8': {'wp': np.float64(0.17871127088311156), 'cp': -414}}"
